-50	-150.6
-49	-97.1
-48	-95.3
-47	-93.5
-46	50.6
-45	-75.5
-44	80.4
-43	-80.1
-42	-85.6
-41	-200.3
-40	-79.5
-39	-80.5
-38	-200.9
-37	-75.2
-36	-70.5
-35	-59.5
-34	60.9
-33	-65.6
-32	-69.3
-31	-61.9
-30	-57.5
-29	-61.3
-28	-60.2
-27	100.6
-26	-50.5
-25	-45.7
-24	129.8
-23	-45.7
-22	90.8
-21	-40.7
-20	-200.2
-19	-40.5
-18	-36
-17	-40.7
-16	-50.2
-15	-30.9
-14	-50.2
-13	-20.8
-12	-30.2
-11	-19.7
-10	100.8
-9	120.7
-8	-20.4
-7	-10.6
-6	-20.7
-5	-10.6
-4	-150.6
-3	-5.9
-2	24.3
-1	3.5
0	0.3
1	6.9
2	-120.3
3	-50.6
4	9.3
5	11.6
6	25.3
7	14.8
8	70.5
9	-10.2
10	26.8
11	28.2
12	25.2
13	29.3
14	30.3
15	20.6
16	16.3
17	200.3
18	38.8
19	39.8
20	41.1
21	-59.8
22	29.8
23	-10.5
24	190.3
25	59.6
26	100.8
27	180.6
28	20.9
29	58.6
30	85.1
31	-75.1
32	65.1
33	79.6
34	80.1
35	-78.6
36	90.6
37	-80.5
38	250.3
39	-20.6
40	94.5
41	-46.5
42	75.6
43	70.5
44	200.2
45	102.3
46	103.2
47	85.6
48	-48.5
49	78.9
50	65.5
-35.5	-150
-34.5	-240
-33.5	-240
12.5	-230
-13.5	-220
-16.5	-190
-17.5	-170
-15.5	-140
36.5	-150
18.5	-170
19.5	-210
32.5	-200
31.5	-250
-32.5	-210
-28.5	-200
