100
0	0.5
0.1	0.8
0.2	1
0.3	0.55
0.4	0.85
0.5	0.78
0.6	1.12
0.7	1.49
0.8	0.1
0.9	1.16
1	1.49
1.1	1.49
1.2	1.68
1.3	1.6
1.4	5
1.5	2.26
1.6	2.12
1.7	1.99
1.8	2.4
1.9	2.66
2	5
2.1	2.41
2.2	2.78
2.3	2.99
2.4	2.9
2.5	3.24
2.6	1.23
2.7	3.126
2.8	3.51
2.9	3.224
3	3.52
3.1	3.87
3.2	0.56
3.3	3.624
3.4	3.89
3.5	3.87
3.6	4.1
3.7	4.36
3.8	6.21
3.9	4.125
4	4.5
4.1	4.489
4.2	4.62
4.3	4.578
4.4	1.12
4.5	5.267
4.6	5.1
4.7	3.998
4.8	5.3
4.9	5.247
5	1.26
5.1	5.426
5.2	5.75
5.3	5.89
5.4	6
5.5	6.354
5.6	2.3
5.7	6.47
5.8	6.3
5.9	6.42
6	6.24
6.1	6.55
6.2	6.57
6.3	8.9
6.4	7.12
6.5	7
6.6	6.98
6.7	7.23
6.8	7.126
6.9	2.5
7	7.77
7.1	7.6
7.2	7.621
7.3	7.84
7.4	7.48
7.5	10.21
7.6	8.124
7.7	8.21
7.8	8.456
7.9	8.5
8	8.23
8.1	4.1
8.2	8.55
8.3	8.86
8.4	9.234
8.5	8.99
8.6	9.1
8.7	8.015
8.8	1.47
8.9	9.66
9	9.45
9.1	9.456
9.2	9.72
9.3	10.25
9.4	3.5
9.5	10.125
9.6	10.36
9.7	9.87
9.8	10.25
9.9	10.245
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
